Tag;Date;Parser;Generator
v4.5;10/06/2015;7790;6014
v5.0-beta-1;31/05/2015;7736;5878
v4.4;09/05/2015;7784;6014
v4.3;03/05/2015;7784;6014
v4.2;07/02/2015;7742;5992
v4.1;21/12/2014;7660;5926
v4.0;29/11/2014;7660;5926
v4.0-beta-1;11/11/2014;7660;5926
v3.4;09/09/2014;7750;5744
v3.3;01/09/2014;7696;5744
v3.2;04/08/2014;7696;4908
v3.1;03/08/2014;7696;4908
v3.0;23/07/2014;7696;4690
v2.1;15/07/2014;7610;4690
v2.0;09/07/2014;#N/A;#N/A
v1.2;03/03/2014;8492;#N/A
v1.1;27/02/2014;#N/A;#N/A
v1.0;23/01/2014;8482;#N/A
